OC,TH_LAT,TH_LONG,SURVEY_DATE
10.3,34.99235719,33.61067677,2018-03-26 00:00:00
17.5,35.0508443,33.24147076,2018-03-30 00:00:00
9.3,34.98706229,33.19776029,2018-03-30 00:00:00
25.4,34.82776476,32.94111405,2018-03-31 00:00:00
8.2,35.02879473,33.82883122,2018-04-04 00:00:00
6.0,34.76511257,33.33037425,2018-04-04 00:00:00
7.2,35.03538901,33.94559923,2018-04-05 00:00:00
15.8,35.0530608,34.0203646,2018-04-05 00:00:00
9.3,48.37506888,1.165137824,2018-08-01 00:00:00
9.6,48.40146782,1.269358535,2018-08-01 00:00:00
8.5,49.49589246,2.657426594,2018-08-01 00:00:00
446.4,46.38134572,14.53487373,2018-08-01 00:00:00
19.9,40.49210835,21.42355383,2018-09-01 00:00:00
23.5,42.57899942,26.92983762,2018-09-01 00:00:00
44.2,42.13100564,24.40515965,2018-09-01 00:00:00
15.3,52.77142146,19.9779237,2018-09-01 00:00:00
477.9,64.218082,15.8435848,2018-10-01 00:00:00
66.1,60.93118018,16.57377856,2018-10-01 00:00:00
39.5,60.42136058,16.25425028,2018-10-01 00:00:00
40.1,60.90841094,16.27382527,2018-10-01 00:00:00
21.9,46.70062067,24.43377776,2018-11-01 00:00:00
27.3,44.97060796,26.35913327,2018-11-02 00:00:00
27.1,50.33998334,20.22158103,2018-11-02 00:00:00
21.6,45.07116516,26.65015687,2018-11-02 00:00:00
13.9,45.8382051,21.66229523,2018-12-01 00:00:00
27.5,45.77716175,21.38872465,2018-12-01 00:00:00
14.9,44.68650934,23.64605903,2018-12-01 00:00:00
